Aaron	アーロン
Hutchings	ハッチングズ
Hutchinson	ハッチンソン
Hutson	ハトソン、ハトスン
Huttlestone	ハトルストーン
Hutton	ハットン
Huxham	ハクサム
Huxley	ハクスリー
Hyatt	ハイアット
Hyde	ハイド
Hydon	ハイドン
Hyland	ハイランド
Hyndman	ハインドマン
Idle	アイドル
Ince	インス
Inge	イング
Ingleby	イングルビー
Inglis	イングリス
Ingram	イングラム
Inman	インマン
Inns	インズ
Ireland	アイアランド
Ireton	アイアトン
Irons	アイアンズ
Irvine	アーヴィン、アーヴァイン
Irving	アーヴィング
Isaacs	アイザックス
Isherwood	イシャーウッド
Ives	アイヴズ
Izzard	イザード
Jackman	ジャックマン
Jackson	ジャクソン
Jacobs	ジェイコブズ
Jagger	ジャガー
James	ジェームズ
Jamieson	ジェイミソン
Jarman	ジャーマン
Jarvis	ジャービス
Jeffers	ジェファーズ
Jefferson	ジェファーソン
Jeffrey	ジェフリー
Jeffreys	ジェフリーズ
Jekyll	ジーキル（ジキル）
Jenkins	ジェンキンズ
Jenkinson	ジェンキンソン
Jenks	ジェンクス
Jenner	ジェナー
Jibson	ジブソン
John	ジョン
Johns	ジョーンズ
Johnson	ジョンソン
Johnston	ジョンストン
Johnstone	ジョンストーン
Jones	ジョーンズ
Jonson	ジョンソン
Joplin	ジョプリン
Jordan	ジョーダン
Joseph	ジョーセフ
Joule	ジュール
Joyce	ジョイス
Judge	ジャッジ
Kavanagh	カヴァナー
Kay	ケイ
Kean	キーン
Kearney	ケアニー、カーニー
Kearns	カーンズ
Keats	キーツ
Keeley	キーリー
Keen	キーン
Keenan	キーナン
Keighley	キースリー
Kellegher	ケラハー
Kellett	ケレット
Kelly	ケリー
Kemble	ケンブル
Kemp	ケンプ
Kendall	ケンドール
Kendrick	ケンドリック
Kenna	ケンナ、ケナ
Kennedy	ケネディ
Kennett	ケネット
Kensit	ケンジット
Kent	ケント
Kerney	カーニー
Kerr	カー
Kersh	カーシュ
Kershaw	カーショー
Keynes	ケインズ
Keys	キーズ
Kidman	キッドマン
Kilner	キルナー
Kimberley	キンバリー
Kimbery	キンバリー
Kincaid	キンケイド
King	キング
Kingscote	キングスコート
Kingsley	キングスリー
Kingston	キングストン
Kington	キングトン
Kipling	キプリング
Kirk	カーク
Kirkby	カービー
Kirkland	カークランド
Kirkman	カークマン
Kissack	キサック
Kissinger	キッシンジャー
Kitchen	キッチン
Kneen	ニーン
Knight	ナイト
Knightley	ナイトリー（ナイトレイ）
Knolles	ノールズ
Knott	ノット
Knowland	ノーランド
Knowles	ノールズ
Knox	ノックス
Kwouk	クウォーク
Laine	レイン
Laing	レイン
Laird	レアード
Lake	レイク
Lamb	ラム
Lambert	ランバート
Lance	ランス
Lanchester	ランチェスター
Landon	ランドン
Lane	レイン
Lanfranc	ランフランク
Langdon	ラングドン
Langford	ラングフォード
Langridge	ラングリッジ
Langshaw	ラングショー
Langton	ラングトン
Lannaman	ラナマン
Lansbury	ランズベリー
Lansdowne	ランズダウン
Lappin	ラッピン
Larkins	ラーキンズ
Larner	ラーナー
Lascelles	ラッセルズ
Latimer	ラティマー
Laughton	ロートン
Laurenson	ローレンソン
Law	ロウ、ロー
Lawes	ローズ、ロウズ
Lawrence	ローレンス
Lawson	ローソン
Lawton	ロートン
Layard	レヤード
Leach	リーチ
Leacock	リーコック
Leahy	レイヒー
Leakey	リーキー
Lean	リーン
Lear	リア
Leary	リーリー、リアリー
Leavis	リーヴィス
Lecky	レッキー
Lee	リー
Leek	リーク
Legge	レッグ
Leigh	リー
Leighton	レイトン
Leith	リース
Leland	リーランド
Lemmon	レモン
Lennon	レノン
Lerwill	ラーウィル
Leslie	レスリー、レズリー
Lessing	レッシング
Lester	レスター
Levin	レヴィン
Levine	レヴァイン
Levingston	リヴィングストン
Levins	レヴィンズ
Lewis	ルイス
Leyland	レイランド
Leyton	レイトン
Lick	リック
Liddell	リデル
Lightfoot	ライトフット
Lilburne	リルバーン
Lilienthal	リリエンソール
Lillie	リリー
Lillywhite	リリーホワイト
Lily	リリー
Lilye	リリー
Linacre	リナカー
Lindbergh	リンドバーグ
Lindgren	リンドグレーン
Lindley	リンドリー
Lindsay	リンジー
Lindsey	リンジー
Linehan	リネハン
Linton	リントン
Lippincott	リッピンコット
Lipscomb	リプスコム
Lipset	リプセット
Lipson	リプソン
Lipton	リプトン
Lister	リスター
Littler	リトラー
Littleton	リトルトン
Livermore	リヴァーモア
Livingston	リヴィングストン
Livingstone	リヴィングストン
Llewellyn	ルウェリン
Lloyd	ロイド
Lockhart	ロックハート
Logan	ローガン
London	ロンドン
Lonergan	ロナガン
Long	ロング
Longfellow	ロングフェロー
Longhurst	ロングハースト
Lonsdale	ロンズデール
Lord	ロード
Lott	ロット
Love	ラヴ
Lovecraft	ラヴクラフト
Lowe	ロウ
Lowell	ローウェル
Loweth	ローウェス
Lucas	ルーカス
Luce	ルース
Lucraft	ルークラフト
Lugard	ルガード
Lumley	ラムリー
Lydgate	リドゲート
Lyly	リリー
Lynch	リンチ
Lynd	リンド
Lynde	リンド
Lynton	リントン
Lyons	ライアンズ、ライオンズ
Lythgoe	リスゴー
Lyttelton	リトルトン
Lytton	リットン
Mabe	メイブ
MacAlpine	マカパイン
MacArthur	マカーサー、マッカーサー
Macaulay	マコーレー
Macauley	マコーリー
MacBride	マクブライド
MacDonald	マクドナルド
MacDonnel	マクドネル
MacFarlane	マクファーレン
MacFarren	マクファーレン
MacGill	マギル、マッギル
MacGregor	マグレガー（マクレガー）
MacIntosh	マッキントッシュ
MacIntyre	マッキンタイヤー
Mack	マック
MacKay	マカーイ、マッケイ
MacKenzie	マッケンジー
MacKey	マッキー
MacKie	マッキー
MacKinlay	マッキンレイ
MacKintosh	マッキントッシュ
MacLaine	マクレーン
MacLaughlin	マクラフリン
Maclaurin	マクローリン
MacLean	マクレーン
MacLeod	マクラウド
MacMahon	マクマホン
MacManus	マクマナス
MacMillan	マクミラン
Macnaghten	マクノートン
MacNair	マクネアー
MacNeice	マクニース
MacNeil	マクニール
MacNeill	マクニール
MacSweeney	マクスウィーニー
Macy	メイシー
Maddrell	マッドレル
Maguire	マグワイア
Mahoney	マホーニー、マーニー
Maihew	メイヒュー
Maitland	メイトランド
Major	メイジャー
Makepeace	メイクピース
Mallett	マレット
Malory	マロリー
Malthouse	モルトハウス
Malthus	マルサス
Mansfield	マンスフィールド
Maple	メイプル、メープル
Marett	マレット
Markham	マーカム
Marland	マーランド
Marlborough	マールバラ
Marlowe	マーロー
Marquat	マーケット
Marr	マー
Marriott	マリオット
Marsh	マーシュ
Marshall	マーシャル
Martin	マーティン
Martinson	マーティンソン
Marven	マーヴェン
Masefield	メイスフィールド
Mason	メイスン
Massey	マッシー
Masters	マスターズ
Matheson	マシソン、マセソン
Matthews	マシューズ
Mauchly	モークリー
Maudslay	モーズレイ
Maugham	モーム
Maxwell	マクスウエル
May	メイ
Mayer	マイヤー
Mayfield	メイフィールド
Mayhew	メイヒュー
Maynard	メイナード
Mayweather	メイウェザー
Maywood	メイウッド
McAleese	マッカリース
McAllister	マカリスター
McAlmont	マッカルモント
McAlpine	マカパイン
McArthur	マカーサー、マッカーサー
McAvoy	マカヴォイ
McBein	マクベイン
McBrain	マクブレイン、マクブライン
McBride	マクブライド
McCabe	マッケイブ
McCafferty	マッカファーティ
McCall	マッコール
McCallum	マッカラム
McCann	マッカン
McCarroll	マッキャロル
McCarthy	マッカーシー
McCartney	マッカートニー
McCarty	マッカーティ
McClellan	マクレラン
McClintock	マクリントック
McClure	マクルーア
McColgan	マッコルガン
McCollum	マッコーラム
McConnell	マコーネル
McCorkell	マッコーケル
McCormack	マコーマック
McCormick	マコーミック
McCorquodale	マッコーコデール
McCoy	マッコイ
McCullagh	マカラー、マッカラー
McCullin	マッカラン、マカラン
McCulloch	マッカロク
McCullough	マッカロー
McDonald	マクドナルド
McDonnell	マクドネル
McDougall	マクドゥーガル
McDowell	マクダウェル
McElhiney	マケルハイニー
McElwee	マケルウィー
McEvoy	マカヴォイ
McFadden	マクファーデン
McFarlane	マクファーレン
McGill	マギル、マッギル
McGinnis	マギニス（マクギニス）
McGlynn	マクグリン
McGonagle	マゴーナグル
McGough	マガフ
McGovern	マガヴァーン（マクガヴァン）
McGregor	マグレガー（マクレガー）
McGuigan	マギーガン
McGwire	マグワイア
McHugh	マキュー
McIntosh	マッキントッシュ
McIntyre	マッキンタイア
McKane	マッケイン
McKay	マッカイ、マッケイ
McKeavney	マキーヴニー
McKee	マッキー
McKellen	マッケラン
McKenna	マッケナ、マッケンナ
McKennitt	マッケニット
McKenzie	マッケンジー
McKeone	マキオン
McKeown	マッケオン
McKernan	マカーナン、マッカーナン
McKerrow	マッケロー、マッケロウ
McKie	マッキー
McKinney	マッキニー
McKinnon	マッキノン
McKintosh	マッキントッシュ
McKnight	マクナイト
McLagan	マクレガン
McLaglen	マクラグレン
McLaren	マクラーレン、マクラレン
McLaughlin	マクロフリン
McLean	マクリーン、マクレーン
McLennan	マクレナン
McLeod	マクラウド
McLoughlin	マクローリン
McLuhan	マクルーハン
McMahon	マクマホン
McMaster	マクマスター
McMath	マクマス、マックマス
McMillan	マクミラン
McMurtry	マクマートリー
McNair	マクネアー
McNally	マクナリー
McNamara	マクナマラ
McNulty	マクナルティ
McOnie	マコニー、マッコニー
McPartland	マクパートランド
McPhail	マクフェイル
McPhee	マクフィー
McPherson	マクファーソン
McQueen	マクィーン、マックイーン
McRae	マクレイ
McSorley	マクソーリー
McTeer	マクティア
McVie	マクヴィー
McWilliams	マクウィリアムズ
Mear	ミアー
Meegan	ミーガン
Meehan	ミーハン
Melbourne	メルボーン
Mellers	メラーズ
Melville	メルヴィル
Mercury	マーキュリー
Meredith	メレディス
Merrigan	メリガン
Merrill	メリル
Merwin	マーウィン
Miall	マイアル
Michael	マイケル
Middleton	ミドルトン
Mill	ミル
Millar	ミラー
Miller	ミラー
Mills	ミルズ
Milne	ミルン
Milnes	ミルンズ
Milton	ミルトン
Milward	ミルワード
Minter	ミンター
Minton	ミントン
Mitchell	ミッチェル
Mixon	ミクソン
Moffat	モファット
Moffett	モフェット
Mogan	モーガン
Mogg	モグ
Mogridge	モグリッジ
Moleyns	モリンズ
Moloney	マロニー
Monaghan	モナハン
Monckton	モンクトン
Moncrief	モンクリーフ
Monroe	モンロー
Montagu	モンタギュー
Montague	モンタギュー
Monteith	モンティース、モンティス
Montgomery	モンゴメリ
Moodie	ムーディ
Moon	ムーン
Mooney	ムーニー
Moorcroft	ムーアクロフト
Moore	ムーア
Moorehead	ムーアヘッド
Morahan	モラハン
Moran	モラン
More	モア
Morgan	モーガン
Morgans	モーガンズ
Morlan	モーラン
Morley	モーリー
Moroney	モロニー
Morpeth	モーペス
Morphew	モーフュー
Morris	モーリス
Morrison	モリスン
Morrissey	モリッシー
Morrow	モロー、モロウ
Morse	モース（モールス）
Mort	モート
Mortimer	モーティマー
Morton	モートン
Moseley	モーズリー
Moses	モージズ、モーゼズ
Mosley	モーズリー
Moss	モス
Mott	モット
Mottelay	モットレイ
Moulding	モールディング
Muggeridge	マガーリッジ、マガリッジ
Muir	ミューア
Muirhead	ミュアヘッド
Mulcahy	マルケイヒー
Mulligan	マリガン
Mundy	マンディ
Munro	マンロー
Munroe	マンロー
Murdoch	マードック
Murdock	マードック
Murphy	マーフィー
Murray	マリー
Murt	マート
Musgrave	マスグレイヴ
Musson	マッソン
Mutton	マットン
Mycroft	マイクロフト
Myler	マイラー
Napier	ネイピア
Nash	ナッシュ
Neal	ニール
Neely	ニーリー
Neeson	ニースン
Nelson	ネルソン、ネルスン
Nettleship	ネトルシップ
Neville	ネヴィル
Newell	ニューウェル
Newhouse	ニューハウス
Newlands	ニューランズ
Newman	ニューマン
Newmark	ニューマーク
Newton	ニュートン
Nicell	ナイセル
Nicholls	ニコルズ
Nichols	ニコルズ
Nicholson	ニコルソン
Nicks	ニックス
Nicol	ニコル
Nicolson	ニコルソン
Nipher	ニファー
Nish	ニッシュ
Nixon	ニクソン
Noakes	ノークス
Noel	ノエル
Nolan	ノーラン
Nordley	ノードリー
Norfolk	ノーフォーク
Norman	ノーマン
Norris	ノリス
Norrish	ノーリッシュ
North	ノース
Northam	ノーサム
Northmore	ノースモア
Northrop	ノースロップ
Norton	ノートン
O'Brian	オブライアン
O'Brien	オブライエン
O'Byrne	オバーン
O'Callaghan	オキャラハン
O'Casey	オケーシー
O'Connell	オコンネル
O'Connor	オコーナー
O'Crowley	オクロウリー
O'Doherty	オドーアティ
O'Donnell	オドンネル
O'Donoghue	オドノヒュー
O'Duffy	オダフィ
O'Fallon	オファロン
O'Farrell	オファレル
O'Flaherty	オフラハティ
O'Grady	オグレイディ
O'Hara	オハラ
O'Hare	オヘア
O'Herlihy	オハリヒー
O'Higgins	オヒギンズ
O'Keeffe	オキーフ
O'Kelly	オケリー
O'Leary	オリーリー、オリアリー
O'List	オリスト
O'Malley	オマリー
O'Meara	オメーラ
O'Neill	オニール
O'Reilly	オライリー
O'Riordan	オリオーダン
O'Rourke	オローク
O'Shaughnessy	オショーネシー
O'Shea	オシェイ
O'Sullivan	オサリヴァン
O'Toole	オトゥール
Oakes	オークス
Oakeshott	オークショット
Oakwood	オークウッド
Oates	オーツ
Occleve	オクリーヴ
Odam	オーダム
Odets	オーデッツ
Odum	オーダム
Offley	オフリー
Ogburn	オグバーン
Ogden	オグデン
Ogg	オッグ
Oldcastle	オールドカースル
Oldfield	オールドフィールド
Oldham	オールダム
Oldman	オールドマン
Oliphant	オリファント
Oliver	オリヴァー
Olivier	オリヴィエ
Olmsted	オルムステッド
Olney	オルニー
Olsen	オルセン
Olyphant	オリファント
Oman	オーマン
Onions	オニオンズ
Orange	オレンジ
Ormond	オーモンド
Orr	オア
Orwell	オーウェル
Osbern	オズバーン
Osborn	オズボーン
Osborne	オズボーン
Osbourne	オズボーン
Otis	オーティス
Otway	オトウェイ
Oudney	オードニー
Oughtred	オートレッド
Ovett	オヴェット
Owen	オーウェン、オーエン
Owens	オウエンズ、オーウェンズ
Oxford	オックスフォード
Oxley	オクスリー、オックスリー
Pace	ペイス
Packer	パッカー
Page	ペイジ
Paice	ペイス
Pain	ペイン
Paley	ペイリー
Palin	ペイリン
Palmer	パーマー
Pape	ペイプ
Pargeter	パージター
Park	パーク
Parker	パーカー
Parkes	パークス
Parkin	パーキン
Parkins	パーキンズ
Parkinson	パーキンソン
Parr	パー
Parry	パリー
Parsons	パーソンズ
Partland	パートランド
Partridge	パートリッジ
Pascoe	パスコー
Paston	パストン
Paterson	パターソン
Patten	パッテン
Pattenden	パテンデン
Patterson	パターソン
Paulson	ポールソン
Paxton	パクストン
Payne	ペイン
Peabody	ピーボディ
Peace	ピース
Peake	ピーク
Peakman	ピークマン
Pearce	ピアース
Pearl	パール
Pearson	ピアソン
Pease	ピーズ
Peel	ピール
Peirce	パース
Pelham	ペラム
Pelling	ペリング
Pemberton	ペンバートン
Pendry	ペンドリー
Penford	ペンフォード
Pennington	ペニントン
Penry	ペンリー
Pepper	ペッパー
Perceval	パーシヴァル
Percy	パーシー
Perkins	パーキンス
Perks	パークス
Perrers	ペラーズ
Perry	ペリー
Pershing	パーシング
Pester	ペスター
Peters	ピーターズ
Peyton	ペイトン
Phelan	フィーラン
Philips	フィリップス
Phillips	フィリップス
Phillipson	フィリップソン
Phillpotts	フィルポッツ
Philpot	フィルポット
Phoenix	フェニックス
Pickering	ピカリング
Pickles	ピックルズ
Pierce	ピアース
Pilcher	ピルチャー
Pilkington	ピルキントン
Pincott	ピンコット
Pinter	ピンター
Pirie	ピリー
Pitman	ピットマン
Pitt	ピット
Pitts	ピッツ
Plaisted	プレイステッド
Plant	プラント
Plender	プレンダー
Plowright	プロウライト
Pointer	ポインター
Pollock	ポロック
Ponting	ポンティング
Poole	プール
Porter	ポーター
Postlethwaite	ポスルスウェイト
Poswell	ポズウェル
Potter	ポッター
Pottinger	ポッティンジャー
Potts	ポッツ
Powell	パウエル
Power	パワー
Preece	プリース
Prescott	プレスコット
Press	プレス
Preston	プレストン
Price	プライス
Prichard	プリチャード
Pridgen	プリジェン
Pridmore	プリッドモア
Priestley	プリーストリー
Prime	プライム
Primrose	プリムローズ
Pritchett	プリチェット
Probert	プロバート
Prosser	プロッサー
Proudfoot	プラウドフット
Prouse	プラウス
Prowse	プラウズ
Pryce	プライス
Pugh	ピュー
Purcell	パーセル
Pyle	パイル
Quaife	クゥエイフ
Quemby	クェンビー
Quigley	クイグリー
Quilter	クィルター
Quin	クィン
Quine	クワイン
Quinlan	クィンラン
Quinn	クィン
Quinton	クィントン
Quirk	クアーク
Rabkin	ラブキン
Rackham	ラッカム
Radcliffe	ラドクリフ
Radford	ラドフォード
Rae	レイ
Rafferty	ラファティ
Raikes	レイクス
Raine	レイン
Rainwater	レインウォーター
Rake	レイク
Raleigh	ローリー
Rampling	ランプリング
Ramsay	ラムゼイ
Ramsey	ラムジー
Rance	ランス
Rand	ランド
Randall	ランドル
Randolph	ランドルフ
Rangeley	レンジリー
Rankin	ランキン
Ransome	ランサム
Rapp	ラップ
Raskin	ラスキン
Ratcliffe	ラトクリフ
Rathbone	ラスボーン
Ratledge	ラトリッジ
Ravenscroft	レイヴンズクロフト
Rawle	ロール、ロウル
Rawsthorne	ロースソーン
Ray	レイ
Raymond	レイモンド
Raynor	レイナー
Read	リード
Reade	リード
Reber	リーバー
Recorde	レコード
Reddie	レディー
Redding	レディング
Reddington	レディントン
Redfield	レッドフィールド
Redford	レッドフォード
Redgrave	レッドグレイヴ、レッドグレーヴ
Redmayne	レッドメイン
Redmond	レドモンド
Redrup	レッドラップ
Reece	リース
Reed	リード
Rees	リース
Reese	リース
Reeves	リーヴズ
Regan	リーガン
Reid	リード
Reilly	ライリー
Relf	レルフ
Remington	レミントン
Renfield	レンフィールド
Renshaw	レンショー
Reston	レストン
Reuther	ルーサー
Revere	リヴィア
Reyleigh	レーリー
Reynolds	レイノルズ
Rhodes	ローズ
Rice	ライス
Rich	リッチ
Richards	リチャーズ
Richardson	リチャードソン
Richmond	リッチモンド
Rickman	リックマン
Rickwood	リックウッド
Riddell	リドル
Riddle	リドル
Rider	ライダー
Ridgway	リッジウェイ
Ridley	リドリー
Ridout	リダウト
Riesman	リースマン
Rifkined	リフキンド
Rigby	リグビー
Riley	ライリー
Rimmell	リンメル
Rimmer	リマー
Rimmington	リミントン
Riordan	リオーダン
Ritchie	リッチー
Roache	ローチ
Roberts	ロバーツ
Robertson	ロバートソン
Robins	ロビンズ
Robinson	ロビンソン
Robson	ロブソン
Rockefeller	ロックフェラー
Rockingham	ロッキンガム
Rockwell	ロックウェル
Rodford	ロッドフォード
Rodger	ロジャー
Rodgers	ロジャーズ
Rodham	ローダム
Rodney	ロドニー
Roger	ロジャー
Rogers	ロジャーズ
Ronan	ローナン
Rooke	ルーク
Rooney	ルーニー
Roosevelt	ルーズヴェルト
Root	ルート
Rootham	ルーサム
Roper	ローパー
Rose	ローズ
Ross	ロス
Rosser	ロッサー
Rosseter	ロセター
Rothery	ロザリー
Rowland	ローランド
Rowlands	ローランズ
Rowlatt	ローラット
Rowling	ローリング
Rowntree	ラウントリー
Roy	ロイ
Royce	ロイス
Royle	ロイル
Rudman	ルドマン
Rumbelow	ランブロウ
Runchman	ランチマン
Runciman	ランシマン
Rundall	ランドール
Rush	ラッシュ
Ruskin	ラスキン
Russ	ラス
Russell	ラッセル
Rust	ラスト
Ruth	ルース
Rutherford	ラザフォード
Rutland	ラトランド
Ryan	ライアン
Rylands	ライランズ
Ryle	ライル
Ryles	ライルズ
Sabine	セービン
Saintsbury	センツベリー
Salinger	サリンジャー
Salisbury	ソールズベリー
Salk	ソーク
Sallis	サリス
Samms	サムズ
Sampson	サンプソン
Samson	サムソン
Samwell	サムウェル
Sanders	サンダーズ
Sanderson	サンダーソン
Sandford	サンドフォード
Sands	サンズ
Sangster	サングスター
Sansom	サンソム
Sargent	サージェント
Saunders	ソーンダーズ
Savery	セヴァリー
Sawyer	ソーヤー
Saxon	サクソン
Sayers	セイヤーズ
Scale	スケール
Scanlan	スカンラン
Scarfe	スカーフ
Schlesinger	スレシンジャー
Scholes	スコールズ
Scotney	スコットニー
Scott	スコット
Scriven	スクリヴン
Scully	スカリー
Seager	シーガー
Seagrove	シーグローヴ
Seale	シール
Seals	シールズ
Seaman	シーマン
Sear	シアー
Searle	サール
Sears	シアーズ
Seaton	シートン
Seberg	セバーグ
Sedgwick	セジウィック
Seeley	シーリー
Seiwell	シーウェル
Selden	セルデン
Selfe	セルフ
Seligman	セリグマン
Sellers	セラーズ
Selsam	セルザム
Selvidge	セルヴィッジ
Selway	セルウェイ
Selwyn	セルウィン
Sennett	セネット
Sensible	センシブル
Service	サーヴィス
Sessions	セッションズ
Seton	シートン
Sewell	スーウェル、シーウェル
Sexby	セクスビー
Sexton	セクストン
Seymour	シーモア
Shaftesbury	シャフツベリー
Shakespeare	シェークスピア
Shaman	シャーマン
Shamrock	シャムロック
Shankly	シャンクリー
Shannon	シャノン
Sharman	シャーマン
Sharp	シャープ
Sharpe	シャープ
Sharrock	シャーロック
Shaughnessy	ショーネシー
Shaw	ショー、ショウ
Shearer	シアラー
Shearsmith	シアースミス
Sheehan	シーン
Sheen	シーン
Sheeran	シーラン
Sheffield	シェフィールド
Shelley	シェリー
Shelvey	シェルヴィー
Shepherd	シェパード
Sheppard	シェパード
Sheridan	シェリダン
Sheringham	シェリンガム
Sherry	シェリー
Sherwood	シャーウッド
Sheward	シュワード
Shield	シールド
Shirley	シャーリー
Shoebridge	シューブリッジ
Shoemaker	ショーメイカー
Shortt	ショート
Sidney	シドニー
Sillitoe	シリトー
Simm	シム
Simmons	シモンズ
Simon	サイモン
Simons	シモンズ
Simpson	シンプソン
Sinclair	シンクレア
Sinfield	シンフィールド
Sisley	シズリー（シスレー）
Skeffington	スケフィントン
Skelding	スケルディング
Skinner	スキナー
Skone	スコーン
Slade	スレイド
Slater	スレーター
Slattery	スラットリー
Sloan	スローン
Slocombe	スロコンブ
Sly	スライ
Smallwood	スモールウッド
Smart	スマート
Smith	スミス
Smyth	スミス
Smythe	スマイス
Snell	スネル
Snelling	スネリング
Snow	スノー
Soane	ソーン
Soddy	ソディー
Sollars	ソラーズ
Solley	ソリー
Solow	ソロウ
Somers	ソマーズ
Soper	ソーパー
Sorby	ソルビー
Sotherland	サザランド
Sotherton	ソザートン
Soule	ソウル
Sowell	ソーウェル
Spark	スパーク
Speake	スピーク
Spearing	スピアリング
Spedding	スペディング
Spence	スペンス
Spencer	スペンサー
Spendlove	スペンドラヴ
Spenser	スペンサー
Spiers	スパイアーズ
Spooner	スプーナー
Spring	スプリング
Springfield	スプリングフィールド
Spurgeon	スパージョン
Squire	スクワイア
Stacey	ステイシー
Stainton	ステイントン
Stamp	スタンプ
Standing	スタンディング
Stanfield	スタンフィールド
Stanford	スタンフォード
Stanley	スタンリー（スタンレイ）
Stansfield	スタンスフィールド
Stanton	スタントン
Stapledon	ステイプルドン
Staples	ステイプルズ
Stapleton	ステイプルトン
Star	スター
Starkey	スターキー
Starrett	スタレット、スターレット
Steel	スティール
Steele	スティール
Steiner	スタイナー
Stephen	スティーヴン
Stephens	スティーヴンズ
Stephenson	スティーヴンソン
Stepney	ステップニー
Sterling	スターリング
Sterne	スターン
Sterry	ステリー
Steuart	スチュアート
Stevens	スティーヴンズ
Stevenson	スティーヴンソン
Steward	スチュワード
Stewart	スチュアート
Stiles	スタイルズ
Stirling	スターリング
Stockdale	ストックデイル
Stockwin	ストックウィン
Stokes	ストークス
Stone	ストーン
Stoney	ストーニー
Stoppard	ストッパード
Storace	ストレイス
Storey	ストーリー
Stowe	ストウ
Street	ストリート
Stride	ストライド
Stuart	スチュアート
Stubbs	スタッブズ
Stynes	スタインズ
Such	サッチ
Suckville	サックウィル
Sullivan	サリヴァン
Summerhayes	サマーヘイズ
Summers	サマーズ
Summerskill	サマースキル
Sumner	サムナー
Sutcliff	サトクリフ
Sutherland	サザーランド
Sutton	サットン
Swan	スワン
Sweeney	スウィニー、スウィーニー
Sweetman	スウィートマン
Swift	スウィフト
Swingler	スウィングラー
Swinnerton	スウィンナートン
Syers	サイアーズ
Sykes	サイクス
Symes	サイムズ
Tait	テート
Talbot	タルボット、トールボット
Talcott	タルコット
Tallis	タリス
Tanner	タナー
Tarrant	ターラント
Tasker	タスカー
Tatchell	タッチェル
Tate	テート
Taverner	タヴァナー
Tawney	トウニー
Tayler	テイラー
Taylor	テイラー
Telford	テルフォード
Temperton	テンパートン
Temple	テンプル
Tennant	テナント
Tenniel	テニエル
Tennyson	テニソン
Tester	テスター
Thackeray	サッカレー
Thackwell	サックウェル
Thatcher	サッチャー
Thayer	セアー
Theiler	セイラー
Thewlis	シューリス
Thokell	ソーケル
Thomas	トーマス
Thompson	トンプソン
Thomson	トムソン
Thorn	ソーン
Thorndike	ソーンダイク
Thorne	ソーン
Thornhill	ソーンヒル
Thornley	ソーンリー
Thornton	ソーントン
Thorpe	ソープ
Thurgood	サーグッド
Thurman	サーマン
Tierney	ティアニー
Tillett	ティレット
Tillotson	ティロトソン
Tillyard	ティリャード
Timberlake	ティンバーレイク
Tiner	タイナー
Tippett	ティペット
Tiptoft	ティプトフト
Titchmarsh	ティッチマーシュ
Tobias	トバイアス
Tohill	トヒル
Tolman	トールマン
Tomlins	トムリンズ
Took	トゥック
Toomey	トゥーミー
Tovey	トーヴィー
Towler	トウラー
Townsend	タウンゼント
Townshend	タウンゼント
Toye	トイ
Toynbee	トインビー
Tragett	トラジェット
Travers	トラヴァーズ
Traylor	トレイラー
Traynor	トレイナー
Trevor	トレヴァー
Trewavas	トレワヴァス
Truman	トルーマン
Tucker	タッカー
Tudor	テューダー
Tunstall	タンストール
Turnbull	ターンブル
Turner	ターナー
Turnour	ターナー
Twigger	トゥイガー
Tye	タイ
Tyler	タイラー
Tyndale	ティンダル
Tyrwhitt	ティリット
Tysoe	タイソー
Underhill	アンダーヒル
Underwood	アンダーウッド
Uniacke	ユニアック
Upshaw	アップショー
Upson	アップソン
Urquhart	アーカート
Utley	アトリー
Uttley	アトリー
Vaughan	ヴォーン
Vernon	ヴァーノン
Vickers	ヴィッカーズ
Vincent	ヴィンセント
Waddingham	ワディンガム
Waddington	ウォーディントン
Wade	ウェイド
Wain	ウェイン
Wainwright	ウェインライト
Wakeling	ウェイクリング
Wakeman	ウェイクマン
Waldron	ウォルドロン
Wales	ウェールズ
Walford	ウォルフォード
Walker	ウォーカー
Walkinshaw	ウォーキンショー
Wall	ウォール
Wallace	ウォレス、ウォリス
Walpole	ウォルポール
Walsh	ウォルシュ
Walter	ウォルター
Walters	ウォルターズ
Walthew	ウォルシュー
Walton	ウォルトン
Warbeck	ウォーベック
Ward	ウォード
Warham	ウォーラム
Warleigh	ウォーレイ
Warlock	ウォーロック
Warner	ワーナー
Warren	ウォーレン
Warrilow	ウォリロウ
Warriner	ウォリナー
Washbourne	ウォッシュボーン
Washburn	ウォッシュバーン
Washington	ワシントン
Waterhouse	ウォーターハウス
Waters	ウォーターズ
Watkinson	ワトキンソン
Watmore	ワットモア
Watson	ワトソン、ワトスン
Watt	ワット
Watts	ワッツ
Waugh	ウォー
Waylett	ウェイレット
Wayne	ウェイン
Webb	ウェッブ
Webber	ウェッバー
Webster	ウェブスター
Wedgwood	ウェッジウッド
Weeden	ウィーデン
Weight	ウェイト
Weinberg	ワインバーグ
Weinberger	ワインバーガー
Weir	ウィアー
Welbourn	ウェルボーン
Welch	ウェルチ
Weller	ウェラー
Welles	ウェルズ
Wellesley	ウェルズリー
Wellington	ウェリントン
Wells	ウェルズ
Welsh	ウェルシュ
Welton	ウェルトン
Welty	ウェルティ
Wentworth	ウェントワース
Wesley	ウェズリー
